file_key,category,bucket,title,design_url,source
cPhxRpyLYJATvVZ0lrQ9VR,Mobile screens,mobile,Mobile screens,https://www.figma.com/design/cPhxRpyLYJATvVZ0lrQ9VR/Mobile-UI-kit--Community---Copy-?node-id=194-1561&p=f&t=LRza040thyTiiCoA-0,sheet
ZEbJpC67UQyeeynt1UR8gT,Mobile screens,mobile,Mobile screens,https://www.figma.com/design/ZEbJpC67UQyeeynt1UR8gT/Mobile-UI-kit--Community---Copy-?node-id=194-1561&p=f&t=rAEosCWgq0ApSWo4-0,sheet
MvI0ZTMcbKPiX5AsZedfFZ,Landing / web,landing,Landing / web,https://www.figma.com/design/MvI0ZTMcbKPiX5AsZedfFZ/Basic-website-kit-by-Figma--Community---Copy-?node-id=0-1&p=f&t=1WbBSI4Tb2MMys83-0,sheet
TgYmEqMwrWFHBxF2kAVOaF,Web dashboard,dashboard,Web dashboard,https://www.figma.com/design/TgYmEqMwrWFHBxF2kAVOaF/Metrix-SaaS-Dashboard-UI-Kit--Community-?t=nUodLXNNvjqvEJ1Y-0,sheet
tqmXjyHAuoM2byJMreptYS,Web admin,dashboard,Web admin,https://www.figma.com/design/tqmXjyHAuoM2byJMreptYS/Free-Figma-Tailwind-Admin-Dashboard---TailAdmin--Community-?node-id=810-15248&p=f&t=ALjH8EbCjUncQtL9-0,sheet
OVgxSlOFyp1ONueGbS9dUf,Web dashboard alt,dashboard,Web dashboard alt,https://www.figma.com/design/OVgxSlOFyp1ONueGbS9dUf/DashStack---Free-Admin-Dashboard-UI-Kit---Admin---Dashboard-Ui-Kit---Admin-Dashboard--Community-?node-id=0-40222&p=f&t=UzJN3jcAtM8TwZZ9-0,sheet
yJ7VsV0epdP0RYDGL8b48L,Mobile freebie screens,mobile,Mobile freebie screens,https://www.figma.com/design/yJ7VsV0epdP0RYDGL8b48L/HaHo--Freebie--Mobile-UI-Kit---Design-System--Community---Copy-?node-id=4668-7848&p=f&t=mEakX5erJfil6bdL-0,sheet
zPfWU9e1DgFUTtL2vxvJHb,Mobile wireframes (broad),mobile,Mobile wireframes (broad),https://www.figma.com/design/zPfWU9e1DgFUTtL2vxvJHb/Mobile-App-Wireframes-UI-Kit--%7C-BRIX-Agency--Community-?node-id=5302-56798&p=f&t=zwCiltFZKUHRw3AS-0,sheet
YNUlNyBi2tG1WYrB9v8Jt5,Essential Forms & Controls UI Kit,forms,Essential Forms & Controls UI Kit,https://www.figma.com/design/YNUlNyBi2tG1WYrB9v8Jt5/Essential-Forms---Controls-UI-Kit--Community---Copy-?node-id=0-1&p=f&t=msB2VnlG1sZq3Tir-0,sheet
jpF9ONCq3S6S9xTSykYGNM,Treyd Crypto Trading App UI Kit,mobile,Treyd Crypto Trading App UI Kit,https://www.figma.com/design/jpF9ONCq3S6S9xTSykYGNM/Treyd-Crypto-Trading-App-UI-Kit--Community---Copy-?node-id=103-9232&p=f&t=BtR5BizGDjU1Xh4R-0,sheet
REMe6TT3iWXX5CUx4truQZ,Smart Charts,dashboard,Smart Charts,https://www.figma.com/design/REMe6TT3iWXX5CUx4truQZ/Smart-Charts--Community-?node-id=1-2&p=f&t=Qdap6JRqeKYlkzzD-0,sheet
